
2025 list by the United Nations[1]
Rank	Country	Total fertility rate
in 2025
(births/woman)
1	 Chad	5.94
2	 Somalia	5.91
3	 DR Congo	5.90
4	 Central African Republic	5.81
5	 Niger	5.79
6	 Mali	5.42
7	 Angola	4.95
8	 Burundi	4.68
9	 Afghanistan	4.66
10	 Mozambique	4.62
11	 Mauritania	4.56
12 (1)	 Mayotte (France)	4.50
13	 Tanzania	4.47
14	 Benin	4.42
15	 Yemen	4.41
16	 Nigeria	4.30
17	 Sudan	4.19
18	 Cameroon	4.19
19	 Ivory Coast	4.17
20	 Togo	4.07
21	 Uganda	4.06
22	 Congo	4.05
23	 Guinea	4.04
24	 Equatorial Guinea	4.04
25	 Burkina Faso	4.01
26	 Zambia	3.97
27	 Madagascar	3.85
28	 Ethiopia	3.81
29	 Gambia	3.80
30	 Liberia	3.79
31	 Comoros	3.76
32	 Samoa	3.75
33	 Senegal	3.71
34	 South Sudan	3.71
35	 Guinea-Bissau	3.68
36	 Zimbabwe	3.62
37	 Eritrea	3.61
38	 Sierra Leone	3.61
39	 Rwanda	3.59
40	 Gabon	3.54
41	 Vanuatu	3.53
42	 Malawi	3.53
43	 São Tomé and Príncipe	3.53
44	 Pakistan	3.50
45	 Solomon Islands	3.47
46	 Uzbekistan	3.45
47	 Ghana	3.30
48 (2)	 French Guiana (France)	3.29
49	 Nauru	3.25
50	 Palestine	3.19
51	 Iraq	3.17
52	 Namibia	3.17
53	 Tuvalu	3.14
54	 Kenya	3.12
55	 Kiribati	3.09
56	 Tonga	3.07
57	 Papua New Guinea	3.03
58	 Tajikistan	2.99
59	 Kazakhstan	2.95
60	 Marshall Islands	2.82
61	 Israel	2.75
62	 Kyrgyzstan	2.75
63 (3)	 Guam (US)	2.71
64	 Egypt	2.71
65	 Micronesia	2.71
66	 Eswatini	2.68
67	 Algeria	2.67
68	 Botswana	2.66
69	 Syria	2.66
70	 Lesotho	2.64
71 (4)	 Saint Martin (France)	2.63
72	 Turkmenistan	2.63
73	 Haiti	2.59
74	 Mongolia	2.59
75	 Djibouti	2.58
76	 Jordan	2.57
77 (5)	 Tokelau (NZ)	2.57
78	 Timor-Leste	2.56
79	 Cambodia	2.51
80	 Bolivia	2.50
81	 Oman	2.48
82	 Niue	2.46
83	 Honduras	2.45
84	 Paraguay	2.40
85	 Guyana	2.37
86	 Laos	2.36
87	 Saudi Arabia	2.29
88 (6)	 Northern Mariana Islands (US)	2.28
89	 Guatemala	2.26
90	 Libya	2.25
91	 Fiji	2.25
92 (7)	 American Samoa (US)	2.25
 World	2.24
93	 Suriname	2.21
94	 Lebanon	2.21
95 (8)	 Faroe Islands (Denmark)	2.20
96	 Dominican Republic	2.20
97	 South Africa	2.19
98	 Morocco	2.18
99	 Nicaragua	2.18
100	 Western Sahara	2.15
101 (9)	 Réunion (France)	2.13
102	 Bangladesh	2.11
103	 Indonesia	2.10
104	 Monaco	2.09
105	 Panama	2.09
106	 Seychelles	2.08
107	 Myanmar	2.08
108 (10)	 U.S. Virgin Islands (US)	2.07
109	 Venezuela	2.06
110 (11)	 Guadeloupe (France)	2.05
111	 Belize	2.01
112	 Cook Islands	2.00
113 (12)	 Martinique (France)	1.97
114 (13)	 New Caledonia (France)	1.95
115	 India	1.94
116	 Peru	1.94
117	 Sri Lanka	1.94
118	 Nepal	1.94
119 (14)	 Greenland (Denmark)	1.91
120 (15)	 Gibraltar (UK)	1.88
121	 Vietnam	1.88
122	 Philippines	1.88
123	 Mexico	1.87
124	 Palau	1.86
125	 Tunisia	1.80
126	 Montenegro	1.80
127	 Ecuador	1.79
128	 Georgia	1.79
129	 Bahrain	1.78
130	 North Korea	1.77
131	 El Salvador	1.75
132	 Saint Vincent and the Grenadines	1.75
133	 Bulgaria	1.74
134	 Moldova	1.72
135	 Armenia	1.71
136	 Brunei	1.71
137	 Romania	1.71
138	 Barbados	1.71
139	 Qatar	1.70
140 (16)	 Falkland Islands (UK)	1.70
141	 Iran	1.67
142	 Azerbaijan	1.67
143	 New Zealand	1.65
144 (17)	 Saint Helena, Ascension and Tristan da Cunha (UK)	1.64
145	 Australia	1.64
146	 France	1.64
147	 United States	1.62
148	 Turkey	1.62
149	 Colombia	1.62
150 (18)	 Aruba (Netherlands)	1.61
151	 Brazil	1.60
152	 Ireland	1.60
153	 Slovenia	1.58
154	 Antigua and Barbuda	1.58
155	 Slovakia	1.57
156	 Maldives	1.55
157	 United Kingdom	1.54
158	 Liechtenstein	1.54
159 (19)	 Isle of Man (UK)	1.53
160	 Malaysia	1.53
161	 Kosovo	1.53
162	 Trinidad and Tobago	1.52
163	 Denmark	1.52
164	 Portugal	1.52
165 (20)	 Cayman Islands (UK)	1.51
166	 Saint Kitts and Nevis	1.51
167	 Argentina	1.51
168	 Serbia	1.50
169	 Iceland	1.50
170	 Kuwait	1.50
171	 Bosnia and Herzegovina	1.50
172	 Cape Verde	1.50
173	 Hungary	1.50
174 (21)	 French Polynesia (France)	1.48
175	 Croatia	1.47
176	 Dominica	1.47
177	 North Macedonia	1.47
178	 Czech Republic	1.47
179	 Russia	1.47
180	 Grenada	1.46
181	 Germany	1.46
182	 Cuba	1.45
183 (22)	 Caribbean Netherlands (Netherlands)	1.45
184 (23)	 Montserrat (UK)	1.45
185	 Switzerland	1.44
186 (24)	 Turks and Caicos Islands (UK)	1.44
187	 Sweden	1.44
188	 Netherlands	1.44
189	 Bhutan	1.44
190 (25)	 Sint Maarten (Netherlands)	1.43
191	 Norway	1.42
192 (26)	 Bermuda (UK)	1.41
193	 Luxembourg	1.40
194 (27)	 Wallis and Futuna (France)	1.40
195	 Belgium	1.39
196	 Uruguay	1.39
197 (28)	 Jersey (UK)	1.38
198	 Estonia	1.38
199	 Saint Lucia	1.38
200 (29)	 Guernsey (UK)	1.37
201	 Cyprus	1.37
202	 Bahamas	1.36
203 (30)	 Anguilla (UK)	1.35
204	 Latvia	1.35
205	 Greece	1.34
206	 Jamaica	1.34
207	 Canada	1.33
208	 Albania	1.33
209	 Austria	1.33
210	 Costa Rica	1.31
211	 Poland	1.31
212	 Finland	1.30
213 (31)	 Saint Pierre and Miquelon (France)	1.28
214	 Spain	1.23
215	 Japan	1.23
216	 Belarus	1.23
217	 Lithuania	1.22
218	 Mauritius	1.21
219	 Italy	1.21
220	 United Arab Emirates	1.21
221	 Thailand	1.20
222	 San Marino	1.16
223	 Chile	1.13
224	 Malta	1.11
225	 Andorra	1.10
226 (32)	 Curaçao (Netherlands)	1.07
227 (33)	 British Virgin Islands (UK)	1.06
228	 China	1.02
229	 Vatican City	1.00
230	 Ukraine	1.00
231	 Singapore	0.96
232 (34)	 Puerto Rico (US)	0.94
233	 Taiwan	0.86
234 (35)	 Saint Barthélemy (France)	0.83
235	 South Korea	0.75
236 (36)	 Hong Kong (China)	0.74
237 (37)	 Macau (China)	0.69
